l,h
165,55
209.4,96
209.4,96
140,76
140,76
219,96
219,96
207,96
207,96
140,76
140,76
202,96
202,96
210,96
210,96
152.3,96
152.3,96
452,76
452,76
437,76
437,76
438,76
438,76
422,76
422,76
201,96
201,96
200,96
200,96
357,76
357,76
234,96
234,96
236,96
300,38
300,38
200,96
200,96
200,96
276,76
276,76
242,76
242,76
278,76
278,76
201,96
201,96
200,96
200,96
221,96
285,76
285,76
252,96
252,96
212,96
212,96
203,96
203,96
192,96
192,96
205,96
205,96
195,76
195,76
136,96
204,96
204,96
180,96
180,96
202,96
202,96
140,96
140,96
214.5,96
214.5,96
204,96
204,96
211,96
211,96
202,96
202,96
226,96
226,96
201,96
201,96
140,76
140,76
140,76
140,76
228,96
228,96
147,96
147,96
174,96
174,96
340,76
264,76
203,96
220,96
253,96
140,96
140,96
203,96
203,96
140,96
140,96
157,96
157,96
211,96
211,96
174,96
174,96
195,55
195,76
140,96
204,96
204,96
202.1,96
202.1,96
217,96
217,96
142,96
142,96
240,96
240,96
214,96
214,96
233,96
233,96
215,96
215,96
145,96
145,96
150,96
150,96
228,96
228,96
140,96
140,96
212,76
240,76
220,76
250,76
181,28
170,34
147,34
121,34
154,38
97,28
492,76
492,76
483,76
454,76
463,76
463,76
201,96
201,96
160,34
100,28
395,76
445,76
361,76
140,76
140,76
194,38
238,28
225,76
225,76
203,76
203,76
74,28
220,76
220,76
300,76
300,76
117,28
147,34
220,76
220,76
220,76
213,76
172,76
172,76
210,76
210,76
150,38
150,38
219,76
219,76
218,76
145,76
157.45,76
157.45,76
211,76
211,76
219.4,76
224.1,76
497,76
210,76
210,76
216,76
216,76
222,76
222,76
222,76
221.5,76
221.5,76
236,76
236,76
433,76
433,76
375.75,76
375.75,76
165,76
165,76
229.5,76
211,76
211,76
174,76
174,76
165,76
150,34
150,34
210,76
210,76
171,76
171,76
210,76
210,76
211,76
211,76
163,76
215,76
215,76
229,76
231,76
230,76
190.4,76
310,32
220,76
205,76
215,76
211,76
211,76
210,76
210,76
210,76
221,76
221,76
216,76
155,55
140,55
140,55
260,76
260,76
210,76
210,76
230,76
230,76
170,76
170,76
320,76
320,76
422,76
422,76
409.3,76
436,76
429.6,76
456,76
91,76
453,76
453,76
454,76
454,76
220,76
240,76
240,76
225,76
225,76
214,76
214,76
218,76
210,76
210,76
217.6,76
220.7,76
422,76
422,76
458,76
458,76
239,76
239,76
210,76
210,76
221,76
218,76
218,76
